"Moet iedereen inkomstenbelasting betalen?","Does everyone have to pay income tax?","Ja, als je een inkomen hebt","Nee, nooit","Alleen gepensioneerden","Alleen kinderen","option1"
"Wat is een aanslagbiljet?","What is a tax assessment notice?","Een brief met de berekening van de belasting","Een parkeerbon","Een lidmaatschapskaart","Een visum","option1"
"Wat is belastingteruggave?","What is a tax refund?","Geld dat je terugkrijgt als je teveel belasting betaald hebt","Een boete omdat je niet betaald hebt","Een lening bij de bank","Een gift van de koning","option1"
"Hoe heet de digitale omgeving van de Belastingdienst?","What is the digital environment of the tax office called?","Mijn Belastingdienst","Mijn Politie","Mijn Supermarkt","Mijn Bioscoop","option1"
"Waarom heft de overheid belasting?","Why does the government levy taxes?","Om publieke voorzieningen te betalen","Om geld weg te gooien","Om burgers te straffen","Om televisieprogramma’s te maken","option1"

"Wat is multiculturalisme?","What is multiculturalism?","Samenleven van verschillende culturen","Alleen één cultuur toestaan","Alleen dezelfde religie","Alleen één taal","option1"
"Wat is gelijkheid tussen mannen en vrouwen?","What is equality between men and women?","Dezelfde rechten en kansen voor mannen en vrouwen","Mannen hebben altijd meer rechten","Vrouwen hebben altijd meer rechten","Geen rechten voor vrouwen","option1"
"Zijn LHBTI+-rechten beschermd in Nederland?","Are LGBTQ+ rights protected in the Netherlands?","Ja, ze zijn wettelijk beschermd","Nee, nooit","Alleen op papier","Alleen voor mannen","option1"
"Wat is een voorbeeld van discriminatie?","What is an example of discrimination?","Iemand achterstellen vanwege huidskleur","Iemand feliciteren met zijn verjaardag","Iemand helpen met huiswerk","Iemand bedanken","option1"
"Waarom is tolerantie belangrijk?","Why is tolerance important?","Om in vrede en respect samen te leven","Om ruzie te maken","Om anderen te beperken","Om te voorkomen dat mensen praten","option1"
"Wat is integratie?","What is integration?","Meedoen in de samenleving en de cultuur leren kennen","Afgezonderd leven","Alleen Nederlands praten en verder niets","Alleen met eigen groep omgaan","option1"
"Wat is emancipatie?","What is emancipation?","Het streven naar gelijke rechten voor iedereen","Het afschaffen van rechten","Het ontkennen van diversiteit","Het beperken van vrijheid","option1"
"Wanneer is het homohuwelijk gelegaliseerd in Nederland?","When was same-sex marriage legalized in the Netherlands?","In 2001","Nooit","In 1900","In 2010","option1"
"Wat is een migrant?","What is a migrant?","Iemand die naar een ander land verhuist","Iemand die in een dorp woont","Iemand die in een stad werkt","Iemand die alleen reist","option1"
"Wat bevordert sociale cohesie?","What promotes social cohesion?","Goede onderlinge relaties, respect en samenwerking","Mensen negeren","Discriminatie","Geweld tegen anderen","option1"

"Moet je je inschrijven bij de gemeente als je verhuist binnen Nederland?","Do you have to register with the municipality if you move within the Netherlands?","Ja, bij de gemeente waar je gaat wonen","Nee, nooit","Alleen als je naar het buitenland gaat","Alleen als je huis koopt","option1"
"Wat is DigiD?","What is DigiD?","Een digitale identiteit om in te loggen op overheidswebsites","Een bankpas","Een rijbewijs","Een OV-kaart","option1"
"Hoe haal je een rijbewijs?","How do you get a driver's license?","Door theorie- en praktijkexamen bij het CBR te doen","Door een auto te kopen","Door een fiets te rijden","Door een cursus koken te volgen","option1"
"Wat is een VOG (Verklaring Omtrent het Gedrag)?","What is a Certificate of Good Conduct (VOG)?","Een verklaring dat je geen strafbare feiten hebt gepleegd die relevant zijn voor een functie","Een schooldiploma","Een garantie voor inkomens","Een medische keuring","option1"
"Moet je afval scheiden?","Must you separate waste?","Ja, dat wordt gestimuleerd door de gemeente","Nee, nooit","Alleen in de zomer","Alleen als je wil","option1"
"Wat is een BSN (Burgerservicenummer)?","What is a BSN (Citizen Service Number)?","Een uniek persoonsnummer voor contact met de overheid","Een type verzekering","Een winkelkaart","Een betaalpas","option1"
"Waarom is het handig een Nederlandse bankrekening te hebben?","Why is it useful to have a Dutch bank account?","Om salarissen, toeslagen en rekeningen gemakkelijk te betalen","Om gratis huizen te krijgen","Om geen belasting te betalen","Om overal te parkeren","option1"
"Wat is een officiële brief van de overheid?","What is an official letter from the government?","Een brief met officiële informatie of beslissingen","Een reclamefolder","Een liefdesbrief","Een handgeschreven kaart","option1"
"Kan iedereen naar de rechtbank als hij een juridisch probleem heeft?","Can everyone go to court if they have a legal problem?","Ja, toegang tot de rechter is een recht","Nee, alleen rijken","Alleen buitenlanders","Alleen als je politie bent","option1"
"Waar kun je informatie krijgen over inburgeringscursussen?","Where can you get information about integration courses?","Bij DUO of op Inburgeren.nl","Bij een sportclub","Bij de politie","Bij de supermarkt","option1"
